filename,edge_density,contour_count,contrast,homogeneity,energy,entropy,mean_R,mean_G,mean_B,brightness,true_damage,true_material,needs_damage_label,needs_material_label
2476_79Bh-Arch.jpg,0.319671631,1501,6.52745098,0.978701111,0.836144191,14.15191807,67.49339,52.662533,38.88315,67.49419,,,FALSE,FALSE
2477_80_1.png,0.082183838,3,8.44932598,0.979475443,0.791071943,3.725544552,60.75542,81.97487,55.657677,85.75198,,,FALSE,FALSE
2478_80Bh-Arch.png,0.214706421,990,1.217325368,0.984843529,0.958938369,9.904795029,89.05794,83.823456,75.2195,104.46702,,,FALSE,FALSE
2479_81_6.png,0.091201782,3,9.481280637,0.975588025,0.846739394,4.202976582,77.935524,99.20365,72.98169,102.93523,,,FALSE,FALSE
2480_81_7.jpg,0.175308228,717,6.463848039,0.975114314,0.690548887,8.149783438,48.91758,38.43434,23.279125,48.992344,,,FALSE,FALSE
2481_81_8.jpg,0.159454346,636,7.710447304,0.976829598,0.70209773,7.355616864,54.038727,43.207645,29.474302,54.045773,,,FALSE,FALSE
2482_8118_A5441.jpg,0.19039917,880,4.428400735,0.98400407,0.694729729,8.771729385,62.25647,54.084053,48.040497,62.25698,,,FALSE,FALSE
2483_8119_A23228.jpg,0.366851807,1732,0,1,1,15.92250328,183.16057,185.55202,184.8908,190.22379,,,FALSE,FALSE
2484_8120_A5439_GRM_SL_8.jpg,0.16255188,764,4.141329657,0.98804323,0.705097192,7.53282858,45.342804,43.451176,42.144226,45.343235,,,FALSE,FALSE
2485_8122_GRS22_RK-8_SF-3.png,0.102508545,252,1.048039216,0.996061612,0.945429454,3.824035263,103.165764,126.48647,101.35898,129.80597,,,FALSE,FALSE
2486_8128_A5444_GRM_Sl_13.jpg,0.210464478,937,4.696415441,0.986205256,0.700531732,9.684445728,69.26255,61.985363,56.94046,69.26318,,,FALSE,FALSE
2487_8129_A23323_GRB56.png,0.152526855,702,0,1,1,6.836083976,71.17437,93.18313,70.538895,96.28116,,,FALSE,FALSE
2488_8130_A_5438_GRM_SL_5.png,0.129608154,557,0,1,1,5.77081439,91.97467,113.6805,90.52686,116.98337,,,FALSE,FALSE
2489_8131_A5434_GRM_SL_11.png,0.105224609,295,1.276501225,0.995408814,0.888262509,3.947508233,83.858,107.4535,82.32727,110.49717,,,FALSE,FALSE
2490_8132_A5443_GRM_SL_6.png,0.144805908,660,0,1,1,6.344055239,83.85454,105.158516,81.902176,108.87706,,,FALSE,FALSE
2491_8134_A5432_GRM_SL_12.jpg,0.371185303,1804,0,1,1,15.99594116,84.44299,71.275475,65.94841,84.5267,,,FALSE,FALSE
2492_8141_A24334.jpg,0.122634888,510,4.883302696,0.984764888,0.743017348,5.723266196,35.7779,28.566227,18.750498,35.799847,,,FALSE,FALSE
2493_8143_A24314.png,0.09727478,3,9.104656863,0.976872198,0.813378299,4.299942001,63.27426,84.27364,57.411842,88.268074,,,FALSE,FALSE
2494_8145_A24344.png,0.089752197,6,8.048529412,0.97946442,0.812808462,3.943693059,68.32538,89.844864,62.923332,93.31632,,,FALSE,FALSE
2495_8146_A24320.png,0.090087891,372,12.99923407,0.981069174,0.707766118,5.069940705,55.437614,64.32431,62.545944,69.15478,,,FALSE,FALSE
2496_8147_A24333.png,0.12890625,499,13.75787377,0.979676751,0.713394872,6.020101988,64.893555,72.24752,69.00431,77.2576,,,FALSE,FALSE
2497_8148_A24326.png,0.10874939,369,12.64381127,0.981201925,0.698043345,5.102844858,51.45111,58.55094,57.32347,63.494366,,,FALSE,FALSE
2498_8149_A24336.png,0.165725708,669,0,1,1,7.749181327,74.46595,78.60311,73.58131,81.76771,,,FALSE,FALSE
2499_8150_A24325.png,0.199996948,898,0,1,1,8.825875625,68.83059,68.963036,60.977406,72.382195,,,FALSE,FALSE
2500_8151_A24343.png,0.158370972,652,12.83477328,0.981235675,0.693194727,7.057926419,62.845726,63.247673,57.00129,67.60162,,,FALSE,FALSE
2501_8152_A24312.png,0.186264038,905,0,1,1,8.593537557,57.652275,54.31527,43.577126,58.83434,,,FALSE,FALSE
2502_8153_A24335.png,0.143447876,559,6.818841912,0.982994887,0.724912517,6.141285549,43.17535,43.22932,38.520744,44.27799,,,FALSE,FALSE
2503_8154_A24352.png,0.162719727,583,15.13762255,0.976674225,0.693828209,7.111780737,52.586548,51.6506,44.412952,55.443817,,,FALSE,FALSE
2504_8155_A24323.png,0.142562866,591,13.99806985,0.9770649,0.697574281,6.682861666,45.665558,46.010246,40.51951,48.57742,,,FALSE,FALSE
2505_8156_A24350.png,0.125152588,444,13.40772059,0.980070226,0.702299551,5.662227777,45.24949,47.807205,43.875668,50.36798,,,FALSE,FALSE
2506_8158_A24337.png,0.188522339,737,13.30784314,0.980947824,0.694775037,8.309360533,62.456974,62.873596,53.85065,65.693886,,,FALSE,FALSE
2507_8159_A22979.png,0.217254639,649,0,1,1,9.377618252,60.37625,63.32881,59.16091,68.43725,,,FALSE,FALSE
2508_8160_A20337.png,0.163238525,656,17.98590686,0.96074023,0.67970856,7.399072724,58.767105,60.856895,55.537598,65.41056,,,FALSE,FALSE
2509_8161_A20338.png,0.157699585,699,14.5057598,0.98095112,0.835769652,7.890853483,59.932896,59.375374,52.791172,64.39821,,,FALSE,FALSE
2510_8162_A24327.png,0.168624878,680,12.75582108,0.981222472,0.698690514,7.494008392,56.25955,53.894897,45.898182,56.849586,,,FALSE,FALSE
2511_8163_A22982.png,0.177276611,769,5.789705882,0.987201715,0.699710834,7.867944676,61.304314,57.07883,48.78551,61.54372,,,FALSE,FALSE
2512_8164_A24339.png,0.153503418,576,13.34378064,0.979597208,0.691789969,6.894725135,57.40974,60.429676,54.446472,62.647003,,,FALSE,FALSE
2513_8165_A20336.png,0.144683838,583,15.446875,0.974433581,0.692874157,6.466691836,48.906094,49.669666,45.10788,52.944164,,,FALSE,FALSE
2514_8166_A22973.png,0.154006958,626,15.18302696,0.974732307,0.692629145,6.92448082,55.14547,56.711487,51.026173,58.4445,,,FALSE,FALSE
2515_8167_A24338.png,0.1771698,678,14.18020833,0.971314798,0.693559951,7.60213724,63.608482,61.073402,54.124363,64.08907,,,FALSE,FALSE
2516_8168_A20339.png,0.077468872,1,7.321599265,0.981300976,0.792519529,3.434432115,67.92813,90.88779,65.64151,92.918396,,,FALSE,FALSE
2517_8170_A20340.png,0.136764526,578,10.93685662,0.969131853,0.698073284,6.116056533,47.40846,48.941624,45.333454,50.874924,,,FALSE,FALSE
2519_8172.png,0.242767334,924,0,1,1,10.52114835,62.017277,60.103756,51.970444,64.48999,,,FALSE,FALSE
2520_8173_A24345.png,0.136077881,476,8.652910539,0.981471291,0.758188201,6.284995036,71.52794,81.515396,79.44505,86.89689,,,FALSE,FALSE
2521_8174_A24330.png,0.173553467,635,16.08762255,0.972749719,0.687782517,7.797795056,57.829376,56.313347,49.3274,62.61434,,,FALSE,FALSE
2522_8175_A24329.png,0.163696289,639,12.56617647,0.980766533,0.695990623,7.163948395,56.58978,57.11678,51.204884,59.033375,,,FALSE,FALSE
2523_8176_A24341.png,0.150787354,622,13.06501225,0.979669392,0.715499556,6.611196234,49.88599,47.50417,40.512062,50.06156,,,FALSE,FALSE
2524_8177_A24340.png,0.077728271,4,2.237622549,0.997673989,0.98494983,3.554011458,66.49165,86.34975,90.18379,92.21449,,,FALSE,FALSE
2525_8178_A24318.png,0.163070679,651,12.72454044,0.980749054,0.692592376,7.299843493,60.7142,57.557156,50.133602,64.460266,,,FALSE,FALSE
2526_8180_A24348.png,0.157119751,678,0,1,1,7.442201792,80.42049,82.69344,76.13363,91.39569,,,FALSE,FALSE
2527_8181_A24310.png,0.149612427,537,14.67478554,0.977001074,0.707167202,6.509018962,40.861206,41.563896,36.82508,42.8508,,,FALSE,FALSE
2528_8182_A24349.png,0.19178772,744,5.300551471,0.988271197,0.693219901,8.198870462,67.540764,64.96011,54.065933,68.025604,,,FALSE,FALSE
2529_8183_A24313.png,0.156829834,582,8.790119485,0.976482946,0.694790101,6.894834908,43.108444,44.530697,39.6018,46.3033,,,FALSE,FALSE
2530_8184_A24322.png,0.140350342,1,13.21427696,0.969668664,0.633350579,7.002516407,59.46958,64.91074,60.80317,68.5614,,,FALSE,FALSE
2531_8185_A24346.png,0.168945313,639,9.319485294,0.985776129,0.943104228,7.724808149,53.36501,53.236282,47.79411,55.0957,,,FALSE,FALSE
2532_8186_A24319.png,0.156097412,594,13.34185049,0.979967392,0.699162607,7.450992776,67.37191,70.44777,63.53882,74.182915,,,FALSE,FALSE
2533_8187_A24321.png,0.166809082,666,13.46657475,0.980019137,0.698556294,7.616768935,60.855267,64.24093,57.85886,67.18795,,,FALSE,FALSE
2534_8188_A24315.png,0.146713257,592,0,1,1,6.990791599,73.01834,80.49859,77.93554,84.28012,,,FALSE,FALSE
2535_8189_A24331.png,0.107131958,367,13.5314951,0.978431107,0.702809369,5.088810541,50.904587,60.07261,59.939808,64.29928,,,FALSE,FALSE
2536_8190_A24342.png,0.122558594,415,14.53152574,0.977657973,0.690603396,5.707892545,51.276814,56.379955,53.189537,59.40355,,,FALSE,FALSE
2537_8191_A24324.jpg,0.171173096,783,6.304871324,0.975320321,0.692704959,8.007637716,52.056046,49.143658,42.092587,52.0865,,,FALSE,FALSE
2538_8192_A24328.jpg,0.142089844,628,4.764123775,0.984661058,0.718094217,6.650295315,50.640854,49.53556,43.109165,50.843067,,,FALSE,FALSE
2539_8193_A20345.png,0.111679077,384,13.53854167,0.979413534,0.701857613,5.317390366,57.65405,64.94118,62.893833,70.10004,,,FALSE,FALSE
2540_8194_A24351.jpg,0.146606445,636,4.819791667,0.98605544,0.715434519,6.857352851,51.786285,47.448944,40.14312,51.82394,,,FALSE,FALSE
2541_8196_A22983.png,0.126922607,486,0,1,1,5.803062197,42.88459,44.566994,41.007565,46.922916,,,FALSE,FALSE
2542_8197_A22980.png,0.10369873,366,12.45370711,0.976187898,0.69148637,4.854245735,46.251236,50.85014,49.146736,54.914127,,,FALSE,FALSE
2543_81Bh-Arch.png,0.32989502,1574,1.774785539,0.995839527,0.968966726,14.63137823,123.81793,92.44015,71.11769,127.43702,,,FALSE,FALSE
2544_82_1.png,0.081924438,3,7.920281863,0.980430471,0.780148111,3.669324739,64.43464,84.09009,54.577976,89.430664,,,FALSE,FALSE
2545_8203_Arch.png,0.095581055,2,7.966115196,0.983944571,0.84829544,4.376701463,75.33775,100.43338,75.482376,100.50427,,,FALSE,FALSE
2546_8206_A11225.png,0.172958374,4,0.245373775,0.991613709,0.734420525,7.712454339,58.853313,63.731537,60.754295,67.76309,,,FALSE,FALSE
2548_83_1.jpg,0.098342896,457,7.293596814,0.978924608,0.775217945,4.724156957,37.67579,25.131697,17.658743,37.680153,,,FALSE,FALSE
2549_83_2.png,0.087203979,230,8.140655637,0.980823759,0.8523677,3.98282877,85.136604,105.08304,77.47727,110.13008,,,FALSE,FALSE
2551_84Bh-Arch.png,0.18145752,816,0.394883578,0.99826728,0.951956175,8.201092745,86.87122,88.772125,83.06601,105.09903,,,FALSE,FALSE
2552_8514.png,0.145294189,591,0,1,1,6.272234464,108.1661,132.15045,109.51642,133.2239,,,FALSE,FALSE
2553_8516_A5446.png,0.109680176,5,8.636642157,0.986646548,0.852753813,4.723077949,81.19145,103.04467,76.040405,106.17562,,,FALSE,FALSE
2554_8517.png,0.073486328,139,0.590165441,0.996047934,0.940284198,2.883703631,104.083275,130.93246,107.974464,131.36517,,,FALSE,FALSE
2555_8558_A24224.png,0.095046997,8,6.911642157,0.983663107,0.8374737,4.228363779,72.67494,95.553,70.8324,97.69284,,,FALSE,FALSE
2556_8568_A23110.png,0.085403442,10,4.3015625,0.993444332,0.883550342,3.915650149,84.7413,108.86283,84.24976,111.387184,,,FALSE,FALSE
2557_8576_A25032.png,0.092422485,266,7.776960784,0.982319542,0.866505746,4.225802167,87.47756,111.11763,83.01706,112.47567,,,FALSE,FALSE
2558_8598_A24363.png,0.170211792,626,18.98875613,0.969073006,0.687055649,7.508366572,62.727825,54.808533,46.004005,65.20036,,,FALSE,FALSE
2560_8618_A25035.png,0.09034729,3,7.57778799,0.9832639,0.805084109,3.943466695,58.465816,81.99703,59.66781,83.61965,,,FALSE,FALSE
2561_8620_A25036.png,0.10723877,3,8.012071078,0.980303554,0.849638618,4.769572308,70.06806,93.30903,68.00694,95.0724,,,FALSE,FALSE
2562_8621_A25037.png,0.09803772,6,6.805453431,0.978174456,0.84085189,4.430718116,71.78711,93.92707,69.26711,96.78188,,,FALSE,FALSE
2563_8625_A25034.png,0.090072632,5,6.745036765,0.98398989,0.831932171,4.008998862,73.971886,98.44983,72.558716,99.01769,,,FALSE,FALSE
2564_8635_A25033.png,0.102554321,5,8.141452206,0.976284052,0.836804718,4.594123543,64.306816,87.28164,63.091866,89.30727,,,FALSE,FALSE
2565_8642_A12240.png,0.133773804,556,12.65582108,0.981575033,0.693466476,6.190640588,59.29217,59.565083,52.852596,66.39035,,,FALSE,FALSE
2567_86Bh-Arch.png,0.24546814,1167,3.413158701,0.973542002,0.933760657,11.15778852,93.263084,80.06497,67.75011,105.40563,,,FALSE,FALSE
2568_87_18.png,0.081176758,1,9.927542892,0.984234158,0.805465091,3.914322525,66.45119,87.663765,61.67284,91.43503,,,FALSE,FALSE
2569_87_3.png,0.08581543,9,6.778982843,0.990290223,0.825146955,3.602836904,76.89344,97.09223,71.4796,101.87793,,,FALSE,FALSE
2570_87_32.png,0.084014893,4,7.902175245,0.989178385,0.850006698,3.865402423,77.52461,102.20911,79.94219,102.536606,,,FALSE,FALSE
2571_87_7.png,0.058227539,11,7.513357843,0.982062693,0.819825222,2.862415375,72.672554,97.89552,72.86825,99.31515,,,FALSE,FALSE
2572_87Bh-Arch.png,0.363693237,1645,6.911136642,0.979519126,0.94803762,15.70732507,98.13674,68.63183,48.83605,98.29689,,,FALSE,FALSE
2573_88Bh-Arch.png,0.273651123,1248,4.813602941,0.989550911,0.963337319,12.37067968,98.1693,74.628876,56.751534,107.546776,,,FALSE,FALSE
2574_8980_A24361.png,0.160720825,661,9.339705882,0.972925124,0.692466217,7.099238606,50.53803,50.44189,45.87948,53.09123,,,FALSE,FALSE
2576_89Bh-Arch.png,0.273284912,1238,6.586243873,0.972567284,0.911299814,12.17533864,94.27581,75.4066,58.79665,103.26817,,,FALSE,FALSE
2577_90_1.png,0.082687378,276,4.624234069,0.989001089,0.757081416,3.997500396,59.70276,72.51705,74.76728,79.83682,,,FALSE,FALSE
2578_90_100.png,0.083602905,7,8.368658088,0.974082341,0.829595547,3.73181129,76.0662,98.223236,74.742676,101.06096,,,FALSE,FALSE
2579_90_101.png,0.078887939,232,8.212867647,0.980619773,0.863053153,3.819750787,88.26956,109.42295,84.3358,113.26579,,,FALSE,FALSE
2580_90_102.png,0.056625366,2,8.910814951,0.977160572,0.836136146,2.86970756,87.30866,111.27204,88.82644,112.29906,,,FALSE,FALSE
2581_90_103.png,0.175201416,663,0,1,1,8.271822887,65.76176,55.580765,40.516438,68.87188,,,FALSE,FALSE
2582_90_107.png,0.141372681,575,3.655514706,0.991778436,0.695310491,6.520501841,66.522446,60.0513,57.061253,72.777504,,,FALSE,FALSE
2583_90_112.png,0.117248535,520,2.881372549,0.993183966,0.71103234,5.650945449,64.13791,65.51969,56.193275,76.17407,,,FALSE,FALSE
2584_90_122.png,0.124893188,465,4.584742647,0.990659584,0.710047533,5.569505726,48.3083,52.100914,46.019253,53.97301,,,FALSE,FALSE
2585_90_123.png,0.14302063,579,12.49402574,0.982708107,0.713717478,6.174515929,38.334816,25.467995,29.82071,40.060345,,,FALSE,FALSE
2586_90_127.png,0.089538574,3,7.859497549,0.989262817,0.823648545,4.133855108,72.42111,92.40249,67.49339,97.40546,,,FALSE,FALSE
2587_90_130.png,0.082260132,5,7.068504902,0.989529683,0.84732326,3.716581731,85.78589,106.75952,82.68141,110.770134,,,FALSE,FALSE
2588_90_133.png,0.177566528,696,4.177113971,0.990772279,0.703926137,7.864686078,68.06206,58.919624,44.373146,72.68729,,,FALSE,FALSE
2589_90_134.png,0.134307861,507,0,1,1,5.626203205,48.622326,43.37507,34.91901,50.461548,,,FALSE,FALSE
2590_90_135.png,0.188537598,760,0.01596201,0.992018995,0.695979145,8.040932313,51.92582,44.873123,34.165386,53.049503,,,FALSE,FALSE
2591_90_14.png,0.18031311,876,5.236427696,0.989518683,0.699924608,8.251682279,85.82406,61.986244,50.719128,85.82449,,,FALSE,FALSE
2593_90_17.png,0.091125488,7,7.533180147,0.982419766,0.812109001,4.052790114,76.606995,92.442825,65.914764,101.59935,,,FALSE,FALSE
2594_90_186.png,0.189865112,872,5.230300245,0.988568188,0.698057704,8.657189082,82.99328,63.438175,41.814266,82.9935,,,FALSE,FALSE
2595_90_187.png,0.193496704,778,4.493045343,0.990199532,0.713415268,8.686372918,84.52085,69.94768,50.705467,89.25137,,,FALSE,FALSE
2596_90_189.png,0.135940552,580,5.982015931,0.987094275,0.692249691,6.269052836,66.315834,60.293774,48.063004,72.57088,,,FALSE,FALSE
2597_90_19.png,0.066864014,212,1.993872549,0.993538386,0.798614975,3.083137948,63.61757,85.49468,59.95562,90.25732,,,FALSE,FALSE
2598_90_190.png,0.158859253,652,4.562867647,0.989730582,0.700079394,7.256711799,62.206318,53.8158,39.71256,67.51379,,,FALSE,FALSE
2599_90_193.png,0.191665649,818,0,1,1,8.41608535,83.077,63.838406,42.436028,85.38595,,,FALSE,FALSE
2600_90_194.png,0.144119263,607,14.03134191,0.97386167,0.720038558,6.385239012,57.959717,44.818775,29.216177,58.109455,,,FALSE,FALSE
2601_90_2.png,0.066940308,218,4.058976716,0.990953682,0.714978405,3.295589484,35.306076,40.85687,41.216248,45.272957,,,FALSE,FALSE
